idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS00077D,52145.0,M2333,1.0,1,2019-01-04 08:14:06,114.056326532,22.6364075534,23.79324068786901,0.568354486887483
BS01899D,52145.0,M2333,1.0,1,2019-01-04 08:14:07,114.0564064,22.6364615,23.803394171736265,0.5685970254382082
BS00077D,52145.0,M2333,1.0,1,2019-01-04 08:14:26,114.056366952,22.6364348549,23.798379210101466,0.5684772319227264
BS01899D,23214.0,M2333,1.0,1,2019-01-04 08:14:27,114.056495908,22.6365568677,23.817400989988855,0.5689316094532785
BS00077D,23214.0,M2333,1.0,1,2019-01-04 08:14:36,114.056595705,22.6366631984,23.833017931253494,0.5693046548385479
BS01899D,23214.0,M2333,1.0,1,2019-01-04 08:14:37,114.05683154,22.6368138265,23.86250108709037,0.5700089256071798
BS00077D,53595.0,M2333,1.0,1,2019-01-04 08:14:46,114.057299629,22.6371020308,23.92024068246415,0.571388164296531
BS01899D,53595.0,M2333,1.0,1,2019-01-04 08:14:47,114.057421424,22.6371766401,23.935241019455397,0.5717464807169649
BS00077D,53595.0,M2333,1.0,1,2019-01-04 08:14:56,114.057785463,22.6373996437,23.980076237246667,0.5728174696392616
BS01899D,53595.0,M2333,1.0,1,2019-01-04 08:14:57,114.058021057,22.6375439645,24.009092095591896,0.5735105779677043
BS00077D,53595.0,M2333,1.0,1,2019-01-04 08:15:06,114.058320775,22.6377275663,24.046005447775222,0.5743923355061025
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:07,114.058586496,22.6378929921,24.078895008491106,0.5751779758335321
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:15:16,114.058987901,22.6381463031,24.155339218465635,0.5770040158549633
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:17,114.059286406,22.6383178287,24.1648961977435,0.5772323055665214
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:15:22,114.059253315,22.6382998547,24.160955095236957,0.5771381635653429
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:15:26,114.059420305,22.6383905588,24.180843439527425,0.5776132409145168
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:27,114.059773768,22.6385362761,24.220710891310333,0.5785655636938657
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:15:36,114.059770968,22.638535275,24.220402457391103,0.578558196063529
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:37,114.059967783,22.6386056578,24.24208317687272,0.5790760882816581
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:15:56,114.059938351,22.6385951326,24.23884100914976,0.5789986418927127
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:57,114.060333409,22.6387004774,24.2811332899854,0.5800088871085272
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:15:58,114.060409793,22.638719184,24.289253731827,0.580202861927541
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:16:05,114.060995809,22.6387962079,24.350141187368777,0.5816572942600805
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:06,114.060000708,22.638617432,24.24877075336673,0.5792358359241352
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:16:07,114.061324375,22.6388186112,24.384006561003982,0.5824662440499888
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:16,114.060167569,22.6386598625,24.263502698781817,0.579587741214679
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:16:17,114.061994422,22.6388495424,24.45545427476804,0.5841729316436783
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:19,114.060389963,22.6387143276,24.287145589589297,0.5801525042601886
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:26,114.061007512,22.6387970095,24.35134744791389,0.5816861084767804
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:35,114.061708196,22.6388363295,24.42350966887702,0.5834098636644909
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:16:36,114.061722456,22.6388369877,24.424977311857187,0.583444921582152
BS01841D,52337.0,M2333,1.0,1,2019-01-04 08:16:50,114.008095668,22.6609277962,16.83511272210374,0.4021441206091196
BS06103D,26352.0,M2333,1.0,1,2019-01-04 08:16:53,114.006614468,22.660924772,16.68243709727984,0.3984971236512292
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:16:57,114.062069955,22.6388540596,24.46074867054179,0.584299400065229
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:16:58,114.062161745,22.6388597874,24.470205358607604,0.5845252940980684
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:00,114.008639505,22.6612903758,16.90428740758826,0.4037965118655239
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:17:06,114.061965638,22.6388482137,24.45841673204612,0.5842436965263733
BS01899D,23166.0,M2333,1.0,1,2019-01-04 08:17:07,114.062382614,22.6388735698,24.49339026304665,0.585079117120281
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:10,114.008667069,22.6613130404,16.9082497086087,0.4038911602403673
BS01899D,68482.0,M2333,1.0,1,2019-01-04 08:17:17,114.062608169,22.6387458861,24.52322621402413,0.5857918151857132
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:20,114.00869514,22.6613361209,16.91210407936749,0.4039832304607978
BS06103D,26352.0,M2333,1.0,1,2019-01-04 08:17:23,114.006881356,22.6609204691,16.70987215195586,0.3991524709672032
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:25,114.008981158,22.6615712919,16.951376719252025,0.40492134483467
BS06103D,26352.0,M2333,1.0,1,2019-01-04 08:17:25,114.007033892,22.6609165598,16.725555294055958,0.3995270977067053
BS01899D,68482.0,M2333,1.0,1,2019-01-04 08:17:27,114.062934864,22.6380405376,24.607594735524994,0.5878071450172451
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:30,114.009365054,22.6618942652,17.004630478252196,0.4061934293425531
BS06103D,52338.0,M2333,1.0,1,2019-01-04 08:17:33,114.007659201,22.660899398,16.81031401038607,0.4015517482098039
BS06103D,25047.0,M2333,1.0,1,2019-01-04 08:17:35,114.0078669,22.6608952,16.811203678050827,0.4015729999012291
BS00077D,23166.0,M2333,1.0,1,2019-01-04 08:17:36,114.062300913,22.6388684716,24.501807528210435,0.585280182224691
BS01899D,68482.0,M2333,1.0,1,2019-01-04 08:17:37,114.063349611,22.6370757682,24.723604018725432,0.5905782848334865
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:40,114.010132743,22.66253792,17.110960499690595,0.4087333584580589
BS06103D,52337.0,M2333,1.0,1,2019-01-04 08:17:43,114.00826922,22.6610120858,16.85531177860962,0.4026266200108032
BS00077D,68482.0,M2333,1.0,1,2019-01-04 08:17:46,114.062641899,22.6387082289,24.52864945239691,0.585921361299379
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:17:47,114.063864642,22.6358777062,24.8664494518874,0.5939904657942071
BS01841D,52347.0,M2333,1.0,1,2019-01-04 08:17:50,114.010620048,22.6629381645,17.33595729061843,0.4141079073619549
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:17:52,114.06411139,22.6353036444,25.0117351975966,0.5974609390491058
BS06103D,52347.0,M2333,1.0,1,2019-01-04 08:17:53,114.008671369,22.6613165752,16.908840078350213,0.4039052625350448
BS00077D,68482.0,M2333,1.0,1,2019-01-04 08:17:56,114.062971957,22.6379542537,24.617852699762796,0.5880521793140593
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:17:57,114.064324427,22.6347916246,24.99568291210059,0.5970774944983555
BS00077D,68482.0,M2333,1.0,1,2019-01-04 08:18:06,114.063410674,22.6369337278,24.74053961228552,0.5909828291624516
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:18:07,114.064411656,22.6345644151,25.02239427122497,0.597715554736066
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:18:29,114.064519847,22.6342739544,25.056428860988493,0.5985285466296559
BS00077D,7445.0,M2333,1.0,1,2019-01-04 08:18:36,114.064447089,22.6344709762,25.033363961386367,0.597977590189949
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:18:37,114.064738089,22.6336584409,25.128189189779768,0.6002427017287483
BS01899D,7445.0,M2333,1.0,1,2019-01-04 08:18:47,114.064855671,22.6332951539,25.17550402156936,0.6013729217478166
